No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic,
10,"10- ( 482 ) عن أبي عمرو ويقال : أبو عبد الله ويقال : أبو ليلى عثمان بن عفان رضي الله عنه أن النبي صلى الله عليه وسلم قال : "" ليس لابن آدم حق في سوى هذه الخصال : بيت يسكنه وثوب يواري عورته وجلف خبز والماء "" رواه الترمذي وقال : حديث صحيح . ( منكر ) .[ فيه حريث بن السائب ، ضعيف يروي الإسرائيليات ، وهذا منها ] . ",عن أبي عمرو ويقال : أبو عبد الله ويقال : أبو ليلى عثمان بن عفان رضي الله عنه أن النبي صلى الله عليه وسلم قال, ليس لابن آدم حق في سوى هذه الخصال : بيت يسكنه وثوب يواري عورته وجلف خبز والماء ," رواه الترمذي وقال : حديث صحيح . ( منكر ) .[ فيه حريث بن السائب ، ضعيف يروي الإسرائيليات ، وهذا منها",منكر,non-authentic,باب فضل الزهد في الدنيا والحث على التقلل منها وفضل الفقر,
11,"11- ( 519 ) عن أسماء بنت يزيد رضي الله عنها قالت : كان كم قميص رسول الله صلى الله عليه وسلم إلى الرصغ . رواه أبو داود والترمذي وقال : حديث حسن . ( ضعيف ) . [ فيه : شهر بن حوشب ، وهو ضعيف ] .",عن أسماء بنت يزيد رضي الله عنها قالت,: كان كم قميص رسول الله صلى الله عليه وسلم إلى الرصغ," رواه أبو داود والترمذي وقال : حديث حسن . ( ضعيف ) . [ فيه : شهر بن حوشب ، وهو ضعيف",ضعيف,non-authentic,باب فضل الجوع وخشونة العيش والاقتصار على القليل من المأكول والملبوس وغيرها من حظوظ النفس وترك الشهوات,
12,"12- ( 578 ) عن أبي هريرة رضي الله عنه أن رسول الله صلى الله عليه وسلم قال : "" بادروا بالأعمال سبعا هل تنتظرون إلا فقراً مُنسياً أو غنى مطغيا أو مرضا مفسدا أو هرما مفندا أو موتا مجهزا أو الدجال فشر غائب ينتظر أو الساعة فالساعة أدهى وأمر "" رواه الترمذي وقال : حديث حسن . ( ضعيف جدّاً ) .[ فيه : محرر بن هاورن ، وهو متروك الحديث ] .",عن أبي هريرة رضي الله عنه أن رسول الله صلى الله عليه وسلم قال, بادروا بالأعمال سبعا هل تنتظرون إلا فقراً مُنسياً أو غنى مطغيا أو مرضا مفسدا أو هرما مفندا أو موتا مجهزا أو الدجال فشر غائب ينتظر أو الساعة فالساعة أدهى وأمر," رواه الترمذي وقال : حديث حسن . ( ضعيف جدّاً ) .[ فيه : محرر بن هاورن ، وهو متروك الحديث", ضعيف جدّاً ,non-authentic,باب ذكر الموت وقصر الأمل,
13,"13- ( 596 ) عن عطية بن عروة السعدي الصحابي رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" لا يبلغ العبد أن يكون من المتقين حتى يدع ما لا بأس به حذرا مما به بأس "" . رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : عبد الله بن يزيد الدمشقي ، وهو ضعيف ] .",عن عطية بن عروة السعدي الصحابي رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم, لا يبلغ العبد أن يكون من المتقين حتى يدع ما لا بأس به حذرا مما به بأس,". رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : عبد الله بن يزيد الدمشقي ، وهو ضعيف ] .",ضعيف,non-authentic,باب الورع وترك الشبهات,
14,"14- ( 714) عن عمر بن الخطاب رضي الله عنه قال ك استأذنت النبي صلى الله عليه وسلم في العمرة فأذن لي وقال : "" لا تنسنا يا أخي من دعائك "" فقال كلمة ما يسرني أن لي بها الدنيا . وفي رواية وقال : "" أشركنا يا أخي في دعائك "" . حديث ضعيف رواه أبو داود والترمذي وقال : حديث حسن صحيح . ( ضعيف ) . [ فيه : عاصم بن عبيد الله بن عاصم العدوي ، وهو ضعيف ] . والحديث مضت الإشارة إلى ضعفه في حديث ( 373 ) .",عن عمر بن الخطاب رضي الله عنه قال ك استأذنت النبي صلى الله عليه وسلم في العمرة فأذن لي وقال ," لا تنسنا يا أخي من دعائك "" فقال كلمة ما يسرني أن لي بها الدنيا . وفي رواية وقال : "" أشركنا يا أخي في دعائك"," حديث ضعيف رواه أبو داود والترمذي وقال : حديث حسن صحيح . ( ضعيف ) . [ فيه : عاصم بن عبيد الله بن عاصم العدوي ، وهو ضعيف ] . والحديث مضت الإشارة إلى ضعفه في حديث ",ضعيف,non-authentic,باب وداع الصاحب ووصيته عند فراقه لسفر وغيره والدعاء له وطلب الدعاء منه,
15,"15- ( 732 ) عن أمية بن مخشي الصحابي رضي الله عنه قال : كان رسول الله صلى الله عليه وسلم جالسا ورجل يأكل فلم يسم الله حتى لم يبق من طعامه إلا لقمة فلما رفعها إلى فيه قال : بسم الله أوله وآخره فضحك النبي صلى الله عليه وسلم ثم قال : "" ما زال الشيطان يأكل معه فلما ذكر اسم الله استقاء ما في بطنه "" . رواه أبو داود والنسائي . ( ضعيف ) . [ فيه : المثنى بن عبد الرحمن الخزاعي ، وهو مجهول ] .",عن أمية بن مخشي الصحابي رضي الله عنه قال," كان رسول الله صلى الله عليه وسلم جالسا ورجل يأكل فلم يسم الله حتى لم يبق من طعامه إلا لقمة فلما رفعها إلى فيه قال : بسم الله أوله وآخره فضحك النبي صلى الله عليه وسلم ثم قال : "" ما زال الشيطان يأكل معه فلما ذكر اسم الله استقاء ما في بطنه",". رواه أبو داود والنسائي . ( ضعيف ) . [ فيه : المثنى بن عبد الرحمن الخزاعي ، وهو مجهول",ضعيف,non-authentic,باب التسمية في أوله والحمد في آخره,كتاب الطعام
16,"16- ( 758 ) عن ابن عباس رضي الله عنهما قال : قال رسول الله صلى الله عليه وسلم : "" لا تشربوا واحدا كشرب البعير ولكن اشربوا مثنى وثلاث وسموا إذا أنتم شربتم واحمدوا الله إذا أنتم رفعتم "" . رواه الترمذي وقال : حديث حسن . ( ضعيف ) . [ فيه : يزيد بن سنان أبو فروة الرهاوي ، وهو ضعيف ، وشيخه مجهول ] . ",عن ابن عباس رضي الله عنهما قال : قال رسول الله صلى الله عليه وسلم, لا تشربوا واحدا كشرب البعير ولكن اشربوا مثنى وثلاث وسموا إذا أنتم شربتم واحمدوا الله إذا أنتم رفعتم," رواه الترمذي وقال : حديث حسن . ( ضعيف ) . [ فيه : يزيد بن سنان أبو فروة الرهاوي ، وهو ضعيف ، وشيخه مجهول",ضعيف,non-authentic,باب أدب الشرب واستحباب التنفس ثلاثاً خارج الإناء وكراهية التنفس في الإناء,كتاب الطعام
17,"17- ( 790 ) عن أسماء بنت يزبد رضي الله عنها قالت : كان كم قميص رسول الله صلى الله عليه وسلم إلى الرسغ . رواه أبو داود والترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : شهر بن حوشب ، وهو ضعيف ] .",عن أسماء بنت يزبد رضي الله عنها قالت, كان كم قميص رسول الله صلى الله عليه وسلم إلى الرسغ," رواه أبو داود والترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : شهر بن حوشب ، وهو ضعيف",ضعيف,non-authentic,باب صفة طول القميص والكم والإزار وطرف العمامة,
18,"18- ( 797 ) عن أبي هريرة رضي الله عنه قال : بينما رجل يصلي مسبل الإزار قال له رسول الله صلى الله عليه وسلم : "" اذهب فتوضأ "" فذهب فتوضأ ثم جاء فقال : "" اذهب فتوضأ "" فقال له رجل : يا رسول الله ما لك أمرته أن يتوضأ ثم سكت عنه ؟ قال : "" إنه كان يصلي وهو مسبل إزاره وإن الله لا يقبل صلاة رجل مسبل "" . رواه أبو داود بإسناد صحيح على شرط مسلم .( ضعيف ) .[ فيه : أبو جعفر ، وهو مجهول ] .",عن أبي هريرة رضي الله عنه قال : بينما رجل يصلي مسبل الإزار قال له رسول الله صلى الله عليه وسلم," اذهب فتوضأ "" فذهب فتوضأ ثم جاء فقال : "" اذهب فتوضأ "" فقال له رجل : يا رسول الله ما لك أمرته أن يتوضأ ثم سكت عنه ؟ قال : "" إنه كان يصلي وهو مسبل إزاره وإن الله لا يقبل صلاة رجل مسبل"," رواه أبو داود بإسناد صحيح على شرط مسلم .( ضعيف ) .[ فيه : أبو جعفر ، وهو مجهول",ضعيف,non-authentic,باب صفة طول القميص والكم والإزار وطرف العمامة,
19,"19- ( 798 ) عن قيس بن بشر التغلبي قال : أخبرني أبي - وكان جليسا لأبي الدرداء - قال : كان بدمشق رجل من أصحاب رسول الله صلى الله عليه وسلم يقال له ابن الحنظلية وكان رجلا متوحدا قلما يجالس الناس إنما هو صلاة فإذا فرغ فإنما هو تسبيح وتكبير حتى يأت أهله فمر بنا ونحن عند أبي الدرداء فقال له أبو الدرداء : كلمة تنفعنا ولا تضرك قال : بعث رسول الله صلى الله عليه وسلم سرية فقدمت فجاء رجل منهم فجلس في المجلس الذي يجلس فيه رسول الله صلى الله عليه وسلم فقال لرجل إلى جنبه : لو رأيتنا حين التقينا نحن والعدو فحمل فلان وطعن فقال : خذها مني وأنا والغلام الغفاري كيف ترى في قوله ؟ قال : ما أراه إلا قد بطل أجره فسمع بذلك آخر فقال : ما أرى بذلك بأس فتنازعا حتى سمع رسول الله صلى الله عليه وسلم فقال : "" سبحان الله ؟ لا بأس أن يؤجر ويحمد "" فرأيت أبا الدرداء سر بذلك وجعل يرفع رأسه إليه ويقول : أأنت سمعت ذلك من رسول الله صلى الله عليه وسلم ؟ فيقول : نعم فما زال يعيد عليه حتى إني لأقول ليبركن على ركبتيه قال فمر بنا يوم آخر فقال له أبو الدرداء : كلمة تنفعنا ولا تضرك قال : قال لنا رسول الله صلى الله عليه وسلم : "" المنفق على الخيل كالباسط يده بالصدقة لا يقبضها "" ثم مر بنا يوما آخر فقال له أبو الدرداء : كلمة تنفعنا ولا تضرك قال : قال رسول الله صلى الله عليه وسلم : "" نعم الرجل خريم الأسدي لولا طول جمته وإسبال إزاره "" فبلغ ذلك خريما فعجل فأخذ شفرة فقطع بها جمته إلى أذنيه ورفع إزاره إلى نصف ساقيه . ثم مر بنا يوما آخر فقال له أبو الدرداء : كلمة تنفعنا ولا تضرك قال : سمعت رسول الله صلى الله عليه وسلم يقول : "" إنكم قادمون على إخوانكم فأصلحوا رحالكم وأصلحوا لباسكم حتى تكونوا كأنكم شامة في الناس فإن الله لا يحب الفحش ولا التفحش "" رواه أبو داود بإسناد حسن إلا قيس بن بشر فاختلفوا في توثيقه وتضعيفه وقد روى له مسلم . ( ضعيف ) .[ فيه : قيس التغلبي ، وهو مجهول ] .",عن قيس بن بشر التغلبي قال : أخبرني أبي - وكان جليسا لأبي الدرداء - قال : كان بدمشق رجل من أصحاب رسول الله صلى الله عليه وسلم يقال له ابن الحنظلية وكان رجلا متوحدا قلما يجالس الناس إنما هو صلاة فإذا فرغ فإنما هو تسبيح وتكبير حتى يأت أهله فمر بنا ونحن عند أبي الدرداء فقال له أبو الدرداء : كلمة تنفعنا ولا تضرك قال," بعث رسول الله صلى الله عليه وسلم سرية فقدمت فجاء رجل منهم فجلس في المجلس الذي يجلس فيه رسول الله صلى الله عليه وسلم فقال لرجل إلى جنبه : لو رأيتنا حين التقينا نحن والعدو فحمل فلان وطعن فقال : خذها مني وأنا والغلام الغفاري كيف ترى في قوله ؟ قال : ما أراه إلا قد بطل أجره فسمع بذلك آخر فقال : ما أرى بذلك بأس فتنازعا حتى سمع رسول الله صلى الله عليه وسلم فقال : "" سبحان الله ؟ لا بأس أن يؤجر ويحمد "" فرأيت أبا الدرداء سر بذلك وجعل يرفع رأسه إليه ويقول : أأنت سمعت ذلك من رسول الله صلى الله عليه وسلم ؟ فيقول : نعم فما زال يعيد عليه حتى إني لأقول ليبركن على ركبتيه قال فمر بنا يوم آخر فقال له أبو الدرداء : كلمة تنفعنا ولا تضرك قال : قال لنا رسول الله صلى الله عليه وسلم : "" المنفق على الخيل كالباسط يده بالصدقة لا يقبضها "" ثم مر بنا يوما آخر فقال له أبو الدرداء : كلمة تنفعنا ولا تضرك قال : قال رسول الله صلى الله عليه وسلم : "" نعم الرجل خريم الأسدي لولا طول جمته وإسبال إزاره "" فبلغ ذلك خريما فعجل فأخذ شفرة فقطع بها جمته إلى أذنيه ورفع إزاره إلى نصف ساقيه . ثم مر بنا يوما آخر فقال له أبو الدرداء : كلمة تنفعنا ولا تضرك قال : سمعت رسول الله صلى الله عليه وسلم يقول : "" إنكم قادمون على إخوانكم فأصلحوا رحالكم وأصلحوا لباسكم حتى تكونوا كأنكم شامة في الناس فإن الله لا يحب الفحش ولا التفحش"," رواه أبو داود بإسناد حسن إلا قيس بن بشر فاختلفوا في توثيقه وتضعيفه وقد روى له مسلم . ( ضعيف ) .[ فيه : قيس التغلبي ، وهو مجهول",ضعيف,non-authentic,باب صفة طول القميص والكم والإزار وطرف العمامة,
20_1,"20- ( 830 ) عن حذيفة بن اليمان رضي الله عنه أن رسول الله صلى الله عليه وسلم لعن من جلس وسط الحلقة . رواه أبو داود بإسناد حسن .وروى الترمذي عن أبي مجلز : أن رجلا قعد وسط حلقة فقال حذيفة : ملعون على لسان محمد صلى الله عليه وسلم - أو لعن على لسان محمد صلى الله عليه وسلم من جلس وسط الحلقة . قال الترمذي : حديث حسن صحيح .( ضعيف ) .[ فيه انقطاع ، أبو مجلز واسمه لاحق بن حميد لم يسمع من حذيفة ] . ",عن حذيفة بن اليمان رضي الله عنه, أن رسول الله صلى الله عليه وسلم لعن من جلس وسط الحلقة, رواه أبو داود بإسناد حسن .,,non-authentic,باب في آداب المجلس والجليس,
20_2,,.وروى الترمذي عن أبي مجلز, أن رجلا قعد وسط حلقة فقال حذيفة : ملعون على لسان محمد صلى الله عليه وسلم - أو لعن على لسان محمد صلى الله عليه وسلم من جلس وسط الحلقة,". قال الترمذي : حديث حسن صحيح .( ضعيف ) .[ فيه انقطاع ، أبو مجلز واسمه لاحق بن حميد لم يسمع من حذيفة",ضعيف,non-authentic,باب في آداب المجلس والجليس,
21,"21- ( 889 ) عن صفوان بن عسال رضي الله عنه قال : قال يهودي لصحابه اذهب بنا إلى هذا النبي فأتيا رسول الله صلى الله عليه وسلم فسألاه عن تسع آيات بينات فذكر الحديث إلى قوله : فقبلا يده ورجله وقالا : نشهد أنك نبي . رواه الترمذي وغيره بأسانيد صحيحة . ( ضعيف ) .[ فيه : عبد الله بن سلمة - بكسر اللام - ، قال الشيخ الألباني : وهو المرادي وهو مختلف فيه وهو راوي حديث علي في "" النهي عن قراءة القرآن جنبا "" ، وقد ضعفه الحفاظ المحققون كما قال المصنف نفسه ومنهم أحمد والشافعي والبخاري وغيرهم ] .",عن صفوان بن عسال رضي الله عنه قال,: قال يهودي لصحابه اذهب بنا إلى هذا النبي فأتيا رسول الله صلى الله عليه وسلم فسألاه عن تسع آيات بينات فذكر الحديث إلى قوله : فقبلا يده ورجله وقالا : نشهد أنك نبي," رواه الترمذي وغيره بأسانيد صحيحة . ( ضعيف ) .[ فيه : عبد الله بن سلمة - بكسر اللام - ، قال الشيخ الألباني : وهو المرادي وهو مختلف فيه وهو راوي حديث علي في "" النهي عن قراءة القرآن جنبا "" ، وقد ضعفه الحفاظ المحققون كما قال المصنف نفسه ومنهم أحمد والشافعي والبخاري وغيرهم ] .",,non-authentic,"باب استحباب المصافحة عند اللقاء ، وتقبيل ولده ، وبشاشة الوجه",
22,"22- ( 890 ) عن ابن عمر رضي الله عنه قصة قال فيها : فدنونا من النبي صلى الله عليه وسلم فقبلنا يده . رواه أبو داود . ( ضعيف ) .[ إسناده يزيد بن أبي زياد الهاشمي مولاهم ، وهو ضعيف ] .",عن ابن عمر رضي الله عنه قصة قال فيها , فدنونا من النبي صلى الله عليه وسلم فقبلنا يده,". رواه أبو داود . ( ضعيف ) .[ إسناده يزيد بن أبي زياد الهاشمي مولاهم ، وهو ضعيف",ضعيف,non-authentic,"باب استحباب المصافحة عند اللقاء ، وتقبيل ولده ، وبشاشة الوجه",
23,"23- ( 891 ) عن عائشة رضي الله عنها قالت : قدم زيد بن حارثة المدينة ورسول الله صلى الله عليه وسلم في بيتي فأتاه فقرع الباب فقام إليه النبي صلى الله عليه وسلم يجر ثوبه فاعتنقه وقبله . رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : محمد بن إسحاق وهو مدلس ، ولم يصرح بالتحديث ] . ",عن عائشة رضي الله عنها قالت, قدم زيد بن حارثة المدينة ورسول الله صلى الله عليه وسلم في بيتي فأتاه فقرع الباب فقام إليه النبي صلى الله عليه وسلم يجر ثوبه فاعتنقه وقبله,". رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : محمد بن إسحاق وهو مدلس ، ولم يصرح بالتحديث ] . ",ضعيف,non-authentic,"باب استحباب المصافحة عند اللقاء ، وتقبيل ولده ، وبشاشة الوجه",
