No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
7_5,,قال أبو القاسم بن بشر أماليه حدثنا أبو الحسن محمد بن أحمد بن حماد بن سفيان حدثنا محمد بن الحسين بن حميد بن الربيع اللخمي حدثنا أبوبكر بن محمد بن عيسى بن سلام الآدمي حدثنا عبدالملك بن عبد ربه الخواص حدثنا الوليد بن مسلم,," به، قال في الميزان عبدالملك بن عبد ربه الطائي منكر الحديث وله عن الوليد بن مسلم خبر موضوع، انتهى. فما رأيت لهذا الحديث من طب‏.",,non-authentic,كتاب التوحيد
8_1,(وقال الخطيب) أنبأنا عبيد اللّه بن محمد بن عبيد اللّه النجار أنبأنا محمد بن المظفر حدثنا أحمد بن جعفر الدوري النقلبي أبو علي حدثنا محمد بن إسماعيل بن إبراهيم بن موسى بن جعفر بن محمد أخبرني الحسن بن موسى عن أبيه موسى بن جعفر عن أبيه جعفر بن محمد عن أبيه محمد بن علي بن الحسين عن الحسين بن علي عن علي قال سألت رسول اللّه صلى اللّه عليه وسلم عن القرآن فقال لي يا علي كلام اللّه غير مخلوق وقال ابن النجار في تاريخه عبدالوهاب بن عبدالواحد أبو القاسم بن أبي الفرج الأنصاري الواعظ شيخ الحنابلة بدمشق حدث عن والده بحديث منكر ثم قال أنبأنا يوسف بن المبارك بن كامل بن أبي غالب الحفاف عن أبيه أنبأنا عبدالوهاب بن عبدالواحد الحنبلي سمعت والدي يقول حدثنا أبو العباس أحمد بن قيس المالكي أنبأنا علي بن أبي الحسن الصوفي حدثني أبو أحمد عبداللّه بن الحافظ حدثني هبيل بن محمد السليحي حدثني أبو بكر رؤبة بن عياش حدثني أبي عن ضمضم بن زرعة عن شريح بن عبيد عن أبي حكيم الشامي مرفوعاً خيركم من حفظ كتاب اللّه فعمل به وعلمه الناس وهو كلام اللّه منزل غير مخلوق منه بدأ وإليه يعود فمن قال مخلوق فهو كافر وقال الشيرازي في الألقاب أنبأنا أبو أحمد محمد بن محمد الحافظ أنبأنا محمد بن أحمد بن سعيد أنبأنا الحسن بن علي التمار أنبأنا أبو علي الحسين بن إسماعيل القاضي أنبأنا إسحاق بن محمد المقزى أنبأنا الحسن بن علي الطحان المعروف بلولو حدثني محمد بن أبي السودا حدثنا وكيع عن الأعمش عن زيد بن وهب عن عبداللّه بن مسعود وحذيفة قالا كنا عند رسول اللّه صلى اللّه عليه وسلم فقال كيف أنتما إذا استخف الناس بالقرآن أما أنكما لن تدركا ذلك إذا استخف الناس بالقرآن وقالوا القرآن مخلوق برئ اللّه منهم وجبريل وكفروا بما أنزل عليّ., أنبأنا عبيد اللّه بن محمد بن عبيد اللّه النجار أنبأنا محمد بن المظفر حدثنا أحمد بن جعفر الدوري النقلبي أبو علي حدثنا محمد بن إسماعيل بن إبراهيم بن موسى بن جعفر بن محمد أخبرني الحسن بن موسى عن أبيه موسى بن جعفر عن أبيه جعفر بن محمد عن أبيه محمد بن علي بن الحسين عن الحسين بن علي عن علي قال سألت رسول اللّه صلى اللّه عليه وسلم عن القرآن فقال لي, يا علي كلام اللّه غير مخلوق,,منكر,non-authentic,كتاب التوحيد
8_2,,وقال ابن النجار في تاريخه عبدالوهاب بن عبدالواحد أبو القاسم بن أبي الفرج الأنصاري الواعظ شيخ الحنابلة بدمشق حدث عن والده بحديث منكر ثم قال أنبأنا يوسف بن المبارك بن كامل بن أبي غالب الحفاف عن أبيه أنبأنا عبدالوهاب بن عبدالواحد الحنبلي سمعت والدي يقول حدثنا أبو العباس أحمد بن قيس المالكي أنبأنا علي بن أبي الحسن الصوفي حدثني أبو أحمد عبداللّه بن الحافظ حدثني هبيل بن محمد السليحي حدثني أبو بكر رؤبة بن عياش حدثني أبي عن ضمضم بن زرعة عن شريح بن عبيد عن أبي حكيم الشامي مرفوعاً ,خيركم من حفظ كتاب اللّه فعمل به وعلمه الناس وهو كلام اللّه منزل غير مخلوق منه بدأ وإليه يعود فمن قال مخلوق فهو كافر,,,non-authentic,كتاب التوحيد
8_3,, وقال الشيرازي في الألقاب أنبأنا أبو أحمد محمد بن محمد الحافظ أنبأنا محمد بن أحمد بن سعيد أنبأنا الحسن بن علي التمار أنبأنا أبو علي الحسين بن إسماعيل القاضي أنبأنا إسحاق بن محمد المقزى أنبأنا الحسن بن علي الطحان المعروف بلولو حدثني محمد بن أبي السودا حدثنا وكيع عن الأعمش عن زيد بن وهب عن عبداللّه بن مسعود وحذيفة قالا كنا عند رسول اللّه صلى اللّه عليه وسلم فقال, كيف أنتما إذا استخف الناس بالقرآن أما أنكما لن تدركا ذلك إذا استخف الناس بالقرآن وقالوا القرآن مخلوق برئ اللّه منهم وجبريل وكفروا بما أنزل عليّ,,,non-authentic,كتاب التوحيد
9,وقال ابن عدي حدثنا العباس بن الوليد النرسي حدثنا يحيى بن سليم حدثنا الأزور بن غالب عن سليمان التيمي عن أنس بن مالك قال القرآن كلام اللّه وليس بمخلوق قال ابن عدي هذا منكر وإن كان موقوفاً لأنه لا يحفظ للصحابة الخوض في القرآن.,وقال ابن عدي حدثنا العباس بن الوليد النرسي حدثنا يحيى بن سليم حدثنا الأزور بن غالب عن سليمان التيمي عن أنس بن مالك قال, القرآن كلام اللّه وليس بمخلوق,قال ابن عدي هذا منكر وإن كان موقوفاً لأنه لا يحفظ للصحابة الخوض في القرآن وقال الذهبي الأزور منكر الحديث أتى بما لا يحتمل فكذب وهو هذا الأثر.,,non-authentic,كتاب التوحيد
10_1," وقال أبو نصر عبيد اللّه بن سعيد بن حاتم السحزي في الإبانة أنبأنا إبراهيم بن علي بن عبداللّه القرشي وكان صدوقاً حدثنا عثمان بن محمد بن إبراهيم المادراي حدثنا أحمد بن محمد بن موسى حدثنا عبدالكريم بن موسى الهيثم الديرعاقولي حدثنا علي بن صالح الأنماطي حدثنا يوسف بن عدي بن محرز عن الأعمش عن إبراهيم بن يزيد عن الحارث بن سويد قال علي رضي اللّه عنه: يذهب الناس حتى لا يبقى أحد يقول لا إله إلا اللّه فإذا فعلوا ذلك ضرب يعسوب الدين ذنبه فيجتمعون إليه من أطراف الأرض كما تجتمع قزع الخريف ثم قال علي إني أعرف أميرهم ومناخ ركابهم يقولون القرآن مخلوق وليس هو بخالق ولا مخلوق ولكنه كلام الرب عز وجل منه بدأ وإليه يعود هذا الإسناد رجاله ثقات وبه أتى علي بن صالح حدثنا علي بن عاصم عن عمران بن جدير عن عكرمة قال شهد ابن عباس جنازة فلما صير في لحده قام رجل فقال اللّهم رب القرآن اغفر له، فقال ابن عباس مه مه القرآن منه وهذا أيضاً رجاله ثقات وقال أبو نصر أنبأنا عبداللّه بن علي بن أحمد الجيلي وكان صالحاً حدثنا عبداللّه محمد بن أحمد بن الوراق حدثنا أبو عبداللّه محمد بن عبداللّه بن أحمد بن أسيد حدثنا أحمد بن حمزة بن هارون المصري حدثنا إسحق بن إبراهيم الطرطوسي حدثنا عبدالرحمن بن مسافر حدثني محمد بن عبدالصمد الخزاني حدثنا أبو داود عن سفيان الثوري أنبأني معمر عن هلال الوزان عن يزيد بن حسان عن معاذ بن جبل قال قال النبي صلى اللّه عليه وسلم يا معاذ العرش والكرسي وحملتهما والسموات السبع وسكانها إلى الدرك الأسود إلى الريح الهفافة بما تنافت به الحدود المتناهية كل ذلك مخلوق ما خلا القرآن فإنه كلام اللّه عز وجل أبو داود هو النخعي أجمعوا على أنه كذاب يضع الحديث وأخرجه الديلمي في مسند الفردوس أنبأنا محمد بن الحسن الرفا حدثنا محمد بن بشر بن يوسف الأموي حدثنا محمد بن خزيمة بن مالك التيمي حدثني عيسى بن داود البغدادي حدثنا سفيان الثوري به قال أبو نصر وروى عن محمد بن المنكدر عن عبداللّه بن عباس قال تساند رسول اللّه صلى اللّه عليه وسلم فغطيناه بثوب ثم أفاق فقال كل شئ من دون اللّه عز وجل مخلوق ما عدا القرآن فإنه كلام اللّه وليأتين على أمتي ناس يقولون القرآن مخلوق أولئك عليهم لعنة اللّه والملائكة والناس أجمعين خالدين في النار مخلدين وغضب اللّه عليهم ورسوله واللّه منهم برئ فإذا أدركتموهم فلا تقربوهم وقال اللالكائي في السنة أنبأنا أحمد بن محمد بن سهل أنبأنا أحمد بن سليمان أنبأنا عمر بن محمد الجوهري حدثنا علي بن أحمد حدثنا الحسن بن عرفة حدثنا هشيم بن بشير حدثنا خالد الحذاء قال سمعت أبا العربان يقول قال عبداللّه بن عمر القرآن كلام اللّه غير مخلوق.", وقال أبو نصر عبيد اللّه بن سعيد بن حاتم السحزي في الإبانة أنبأنا إبراهيم بن علي بن عبداللّه القرشي وكان صدوقاً حدثنا عثمان بن محمد بن إبراهيم المادراي حدثنا أحمد بن محمد بن موسى حدثنا عبدالكريم بن موسى الهيثم الديرعاقولي حدثنا علي بن صالح الأنماطي حدثنا يوسف بن عدي بن محرز عن الأعمش عن إبراهيم بن يزيد عن الحارث بن سويد قال علي رضي اللّه عنه, يذهب الناس حتى لا يبقى أحد يقول لا إله إلا اللّه فإذا فعلوا ذلك ضرب يعسوب الدين ذنبه فيجتمعون إليه من أطراف الأرض كما تجتمع قزع الخريف ثم قال علي إني أعرف أميرهم ومناخ ركابهم يقولون القرآن مخلوق وليس هو بخالق ولا مخلوق ولكنه كلام الرب عز وجل منه بدأ وإليه يعود, هذا الإسناد رجاله ثقات وبه أتى علي بن صالح,,non-authentic,كتاب التوحيد
10_2,,وبه أتى علي بن صالح حدثنا علي بن عاصم عن عمران بن جدير عن عكرمة قال,"اللّهم رب القرآن اغفر له، فقال ابن عباس مه مه القرآن منه",وهذا أيضاً رجاله ثقات,,non-authentic,كتاب التوحيد
10_3,,وقال أبو نصر أنبأنا عبداللّه بن علي بن أحمد الجيلي وكان صالحاً حدثنا عبداللّه محمد بن أحمد بن الوراق حدثنا أبو عبداللّه محمد بن عبداللّه بن أحمد بن أسيد حدثنا أحمد بن حمزة بن هارون المصري حدثنا إسحق بن إبراهيم الطرطوسي حدثنا عبدالرحمن بن مسافر حدثني محمد بن عبدالصمد الخزاني حدثنا أبو داود عن سفيان الثوري أنبأني معمر عن هلال الوزان عن يزيد بن حسان عن معاذ بن جبل قال قال النبي صلى اللّه عليه وسلم,يا معاذ العرش والكرسي وحملتهما والسموات السبع وسكانها إلى الدرك الأسود إلى الريح الهفافة بما تنافت به الحدود المتناهية كل ذلك مخلوق ما خلا القرآن فإنه كلام اللّه عز وجل, أبو داود هو النخعي أجمعوا على أنه كذاب يضع الحديث,صحيح,authentic,كتاب التوحيد
10_4,, وأخرجه الديلمي في مسند الفردوس أنبأنا محمد بن الحسن الرفا حدثنا محمد بن بشر بن يوسف الأموي حدثنا محمد بن خزيمة بن مالك التيمي حدثني عيسى بن داود البغدادي حدثنا سفيان الثوري به قال أبو نصر وروى عن محمد بن المنكدر عن عبداللّه بن عباس , تساند رسول اللّه صلى اللّه عليه وسلم فغطيناه بثوب ثم أفاق فقال كل شئ من دون اللّه عز وجل مخلوق ما عدا القرآن فإنه كلام اللّه وليأتين على أمتي ناس يقولون القرآن مخلوق أولئك عليهم لعنة اللّه والملائكة والناس أجمعين خالدين في النار مخلدين وغضب اللّه عليهم ورسوله واللّه منهم برئ فإذا أدركتموهم فلا تقربوهم,,صحيح ,authentic,كتاب التوحيد
10_5,,وقال اللالكائي في السنة أنبأنا أحمد بن محمد بن سهل أنبأنا أحمد بن سليمان أنبأنا عمر بن محمد الجوهري حدثنا علي بن أحمد حدثنا الحسن بن عرفة حدثنا هشيم بن بشير حدثنا خالد الحذاء قال سمعت أبا العربان يقول قال عبداللّه بن عمر,القرآن كلام اللّه غير مخلوق,,صحيح ,authentic,كتاب التوحيد
11,"أبو العربان مروان بن أبي مروان، قال في الميزان قال السليماني فيه نظر وقال في اللسان مجهول وقال اللالكائي أنبأنا الشيخ أبو حامد أحمد بن أبي طاهر الفقيه أنبأنا عمر بن أحمد الواعظ حدثنا محمد بن هارون الحضرمي، حدثنا القاسم بن العباس الشيباني، حدثنا سفيان بن عيينة عن عمرو بن دينار قال أدركت تسعة من أصحاب رسول اللّه صلى اللّه عليه وسلم يقولون من قال القرآن مخلوق فهو كافر.","أبو العربان مروان بن أبي مروان، قال في الميزان قال السليماني فيه نظر وقال في اللسان مجهول وقال اللالكائي أنبأنا الشيخ أبو حامد أحمد بن أبي طاهر الفقيه أنبأنا عمر بن أحمد الواعظ حدثنا محمد بن هارون الحضرمي، حدثنا القاسم بن العباس الشيباني، حدثنا سفيان بن عيينة عن عمرو بن دينار قال أدركت تسعة من أصحاب رسول اللّه صلى اللّه عليه وسلم يقولون",من قال القرآن مخلوق فهو كافر,,,non-authentic,كتاب التوحيد
12,"وقال عثمان بن سعيد الدارمي في كتاب الرد على الجهمية سمعت إسحق بن إبراهيم الحنظلي يقول قال سفيان بن عيينة قال عمرو بن دينار أدركت أصحاب النبي صلى اللّه عليه وسلم فمن دونهم منذ سبعين سنة يقولون: اللّه الخالق وما سواه مخلوق والقرآن كلام اللّه منه خرج وإليه يعود، هذا والذي قبله صحيحان.",وقال عثمان بن سعيد الدارمي في كتاب الرد على الجهمية سمعت إسحق بن إبراهيم الحنظلي يقول قال سفيان بن عيينة قال عمرو بن دينار أدركت أصحاب النبي صلى اللّه عليه وسلم فمن دونهم منذ سبعين سنة يقولون, اللّه الخالق وما سواه مخلوق والقرآن كلام اللّه منه خرج وإليه يعود,هذا والذي قبله صحيحان,,non-authentic,كتاب التوحيد
13_1,وقال البخاري في خلق أفعال العباد حدثني الحاكم بن محمد الطبري كتبت منه بمكة قال حدثنا سفيان بن عيينة قال أدركت مشيختنا منذ سبعين سنة منهم عمرو بن دينار قال أدركت أصحاب النبي صلى اللّه عليه وسلم فمن دونهم سبعين سنة يقولون اللّه الخالق وما سواه مخلوق والقرآن كلام اللّه منه خرج وإليه يعود هذا والذي قبله صحيحان وقال الحاكم في التاريخ حدثنا أبوبكر محمد بن جعفر حدثنا ليث بن محمد بن ليث المروزي أبو نصر المكاتب حدثنا محمد بن العباس بن سهل بن عبيدة حدثنا إسماعيل بن عبداللّه حدثنا أبو غانم يونس بن نافع حدثنا هلال الوزان عن يزيد بن حسان عن ربيعة الحرشي عن معاذ بن جبل قال قال رسول اللّه صلى اللّه عليه وسلم القرآن كلام اللّه وسائر الأشياء خلقه أسماعيل متروك وقال الديلمي أنبأنا عبدالرحيم الصيدلاني الرازي اذنا أنبأنا أبوطاهر محمد بن أحمد بن حمدان حدثنا أبو العباس البصير حدثنا أبو بكر عبدالرحمن بن محمد بن علوية القاضي الأبهري بخاري حدثنا محمد بن عقيل البلخي بها حدثنا العباس الدوري عن يزيد بن هارون عن حميد عن أنس رفعه قرآناً عربياً غير ذي عوج قال غير مخلوق.,وقال البخاري في خلق أفعال العباد حدثني الحاكم بن محمد الطبري كتبت منه بمكة قال حدثنا سفيان بن عيينة قال أدركت مشيختنا منذ سبعين سنة منهم عمرو بن دينار قال أدركت أصحاب النبي صلى اللّه عليه وسلم فمن دونهم سبعين سنة يقولون,اللّه الخالق وما سواه مخلوق والقرآن كلام اللّه منه خرج وإليه يعود ,هذا والذي قبله صحيحان,,non-authentic,كتاب التوحيد
13_2,,وقال الحاكم في التاريخ حدثنا أبوبكر محمد بن جعفر حدثنا ليث بن محمد بن ليث المروزي أبو نصر المكاتب حدثنا محمد بن العباس بن سهل بن عبيدة حدثنا إسماعيل بن عبداللّه حدثنا أبو غانم يونس بن نافع حدثنا هلال الوزان عن يزيد بن حسان عن ربيعة الحرشي عن معاذ بن جبل قال قال رسول اللّه صلى اللّه عليه وسلم,القرآن كلام اللّه وسائر الأشياء خلقه, أسماعيل متروك,,non-authentic,كتاب التوحيد
13_3,, وقال الديلمي أنبأنا عبدالرحيم الصيدلاني الرازي اذنا أنبأنا أبوطاهر محمد بن أحمد بن حمدان حدثنا أبو العباس البصير حدثنا أبو بكر عبدالرحمن بن محمد بن علوية القاضي الأبهري بخاري حدثنا محمد بن عقيل البلخي بها حدثنا العباس الدوري عن يزيد بن هارون عن حميد عن أنس رفعه, قرآناً عربياً غير ذي عوج قال غير مخلوق,,,non-authentic,كتاب التوحيد
