No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
7,7- اتقوا البرد فإنه قتل أخاكم أبا الدرداء لا يعرف وأبو الدرداء عاش بعد النبي دهرا ,,اتقوا البرد فإنه قتل أخاكم أبا الدرداء,لا يعرف وأبو الدرداء عاش بعد النبي دهرا ,,non-authentic, باب الهمزة 
8,8- اتقوا ذوي العاهات لم يعرف هكذا لكن في الحديث اتقوا المجذوم كما يتقى الأسد وهذا ونحوه لئلا يقع المرض فيحال على العدوى لا إثباتا لها فلا ينافي قوله لاعدوى الجد الحثيث ج:1 ص:39 ,,اتقوا ذوي العاهات,لم يعرف هكذا لكن في الحديث اتقوا المجذوم كما يتقى الأسد وهذا ونحوه لئلا يقع المرض فيحال على العدوى لا إثباتا لها فلا ينافي قوله لاعدوى الجد الحثيث ج:1 ص:39 ,,non-authentic, باب الهمزة 
9,9- اتقوا مواضع التهم أورده في الإحياء حديثا وقال العراقي لم أجد له أصلا انتهى لكن جاء في كلام عمر-رضي الله عنه- من عرض نفسه للتهمة فلا يلومن من أساء به الظن ,,اتقوا مواضع التهم,أورده في الإحياء حديثا وقال العراقي لم أجد له أصلا انتهى لكن جاء في كلام عمر-رضي الله عنه- من عرض نفسه للتهمة فلا يلومن من أساء به الظن ,,non-authentic, باب الهمزة 
10,10- أخروهن من حيث أخرهن الله أخرجه الطبراني عن ابن مسعود موقوفا ,,أخروهن من حيث أخرهن الله,أخرجه الطبراني عن ابن مسعود موقوفا ,,non-authentic, باب الهمزة 
11_1,11- اخشوشنوا وتمعددوا واجعلوا الرأس رأسين جاء عن عمر موقوفا الجد الحثيث ج:1 ص:40 وفيه وإياكم وزي الأعاجم لكن روي نحوه مرفوعا ,,اخشوشنوا وتمعددوا واجعلوا الرأس رأسين, جاء عن عمر موقوفا الجد الحثيث ج:1 ص:40 وفيه,,non-authentic, باب الهمزة 
11_2,,, وإياكم وزي الأعاجم, لكن روي نحوه مرفوعا ,,non-authentic, باب الهمزة 
12,12- أخفوا الختان وأعلنوا النكاح لا أصل للأول وبوب البخاري في الأدب المفرد للدعوة في الختان وللهو فيه وذكر حديثا يشهد للإعلان به ونقل ابن الحاج أن الإخفاء يختص بالنساء والعرف عليهولكن ورد عن عائشة إظهاره فيهن-أيضا-الجد الحثيث ج:1 ص:41 ,,أخفوا الختان وأعلنوا النكاح,لا أصل للأول وبوب البخاري في الأدب المفرد للدعوة في الختان وللهو فيه وذكر حديثا يشهد للإعلان به ونقل ابن الحاج أن الإخفاء يختص بالنساء والعرف عليهولكن ورد عن عائشة إظهاره فيهن-أيضا-الجد الحثيث ج:1 ص:41 ,,non-authentic, باب الهمزة 
13,13- ادفع الشك باليقين جاء في كلام سفيان الثوري ويجري على ألسنة الفقهاء من قواعدهم وليس بحديث لكن يشهد له حديث دع ما يريبك إلى ما لا يريبك ,,ادفع الشك باليقين,جاء في كلام سفيان الثوري ويجري على ألسنة الفقهاء من قواعدهم وليس بحديث لكن يشهد له حديث دع ما يريبك إلى ما لا يريبك ,,non-authentic, باب الهمزة 
14,14- إذا أكلتم فأفضلوا قال صاحب الأصل لم أجده حديثا بل في الحديث ما يعارضه كحديث مسلم عن جابر أن رسول الله أمر بلعق الأصابع والصحفة وقال إنكم لا تدرون في أي طعامكم البركة ,,إذا أكلتم فأفضلوا,قال صاحب الأصل لم أجده حديثا بل في الحديث ما يعارضه كحديث مسلم عن جابر أن رسول الله أمر بلعق الأصابع والصحفة وقال إنكم لا تدرون في أي طعامكم البركة ,,non-authentic, باب الهمزة 
15,15- إذا جاء القضاء ذهب البصر هو من كلام ابن عباس الجد الحثيث ج:1 ص:42 ,,إذا جاء القضاء ذهب البصر,هو من كلام ابن عباس الجد الحثيث ج:1 ص:42 ,,non-authentic, باب الهمزة 
16,16- إذا جزت يا معاذ أرض الحصيب -يعني من اليمن- فهرول فإن بها الحور العين لا يعرف ,,إذا جزت يا معاذ أرض الحصيب -يعني من اليمن- فهرول فإن بها الحور العين,لا يعرف ,,non-authentic, باب الهمزة 
17_1,17- إذا حضرت الملائكة هربت الشياطين ليس بحديث لكن الجد الحثيث ج:1 ص:43 في الحديث ما يدل على أن الشيطان لا يجتمع مع الملك وهو ما صح عن أبي هريرة رضي الله عنه -أن رجلا سب أبا بكر -ر ضي الله عنه- والنبي جالس لا يقول شيئا فلما سكت ذهب أبو بكر يتكلم فقام النبي واتبعه أبو بكر فقال يا رسول الله كان يسبني وأنت جالس فلما ذهبتأتكلم قمت قال إن الملك كان يرد عنك فلما تكلمت ذهب الملك ووقع الشيطان فكرهت أن أجلس وفي رواية فلما انتصرت وقع الشيطان ,,إذا حضرت الملائكة هربت الشياطين, ليس بحديث لكن الجد الحثيث ج:1 ص:43 في الحديث ما يدل على أن الشيطان لا يجتمع مع الملك وهو ما صح,,non-authentic, باب الهمزة 
17_2,, عن أبي هريرة رضي الله عنه,أن رجلا سب أبا بكر -ر ضي الله عنه- والنبي جالس لا يقول شيئا فلما سكت ذهب أبو بكر يتكلم فقام النبي واتبعه أبو بكر فقال يا رسول الله كان يسبني وأنت جالس فلما ذهبتأتكلم قمت قال أن الملك كان يرد عنك فلما تكلمت ذهب الملك ووقع الشيطان فكرهت أن أجلس وفي رواية فلما انتصرت وقع الشيطان,,,authentic, باب الهمزة 
18_1,18- إذا صدقت المحبة سقطت شروط الأدب ليس بحديث وإنما قال الجنيد إذا صحت المحبة سقط شرط الأدب وفي كلام المبرد إذا صحت المودة سقط التكليف والعمل ,,إذا صدقت المحبة سقطت شروط الأدب, ليس بحديث وإنما قال الجنيد,,non-authentic, باب الهمزة 
18_2,,, إذا صحت المحبة سقط شرط الأدب,وفي كلام المبرد,,non-authentic, باب الهمزة 
18_3,,, إذا صحت المودة سقط التكليف والعمل ,,,non-authentic, باب الهمزة 
19,19- إذا صليتم فعمموا لا يعرف لكن جاء صلوا على النبيين إذا ذكرتموني فإنهم بعثوا كما بعثت الجد الحثيث ج:1 ص:44 ,,إذا صليتم فعمموا , لا يعرف لكن جاء صلوا على النبيين إذا ذكرتموني فإنهم بعثوا كما بعثت الجد الحثيث ج:1 ص:44,,non-authentic, باب الهمزة 
20_1,20- إذا كانت الدنيا في بلاء وقحط كانت الشام في رخاء وعافية أخرجه ابن عساكر عن أبي عبد الملك الجزري من قوله وزاد وإذا كانت الشام في بلاء وقحط كانت فلسطين في رخاء وعافية وإذا كانت فلسطين في بلاء وقحط كانت بيت المقدس في رخاء وعافية وقال الشام مباركة وفلسطين مقدسة وبيت المقدس قدس ألف مرة ولا أصل له في المرفوع ,,إذا كانت الدنيا في بلاء وقحط كانت الشام في رخاء وعافية, أخرجه ابن عساكر عن أبي عبد الملك الجزري من قوله وزاد,,non-authentic, باب الهمزة 
20_2,,, وإذا كانت الشام في بلاء وقحط كانت فلسطين في رخاء وعافية وإذا كانت فلسطين في بلاء وقحط كانت بيت المقدس في رخاء وعافية وقال الشام مباركة وفلسطين مقدسة وبيت المقدس قدس ألف مرة,ولا أصل له في المرفوع ,,non-authentic, باب الهمزة 
21_1,21- إذا كبر ابنك واخيه هو من كلام العامة الجد الحثيث ج:1 ص:45 وقولهم واخيه لحن وصوابه آخه لكن في معناه حديث أبي جبيرة بن الضحاك عند الطبراني -وسنده ضعيف-الولد سبع سنين سيد وأمير وتسع سنين أخووزير فإن رضيت فكافئه وإلا فاضرب على جنبه فقد أعذرت فيما بينك وبينه ,,إذا كبر ابنك واخيه, هو من كلام العامة الجد الحثيث ج:1 ص:45 وقولهم واخيه لحن وصوابه آخه لكن في معناه,,non-authentic, باب الهمزة 
21_2,, حديث أبي جبيرة بن الضحاك عند الطبراني -وسنده ضعيف,الولد سبع سنين سيد وأمير وتسع سنين أخووزير فإن رضيت فكافئه وإلا فاضرب على جنبه فقد أعذرت فيما بينك وبينه,,,non-authentic, باب الهمزة 
22_1,22- إذا كنت على الماء فلا تبخل بالماء لا يعرف لكن في الجد الحثيث ج:1 ص:46 الحديث من سقى مسلما ماء حيث يوجد الماء فكأنما أعتق رقبة أو في موضع لا يوجد فيه الماء فكأنما أحياه وفيه -أيضا- إذا كثرت ذنوبك فاسق الماء على الماء تتناثر كما يتناثر الورق من الشجر في الريح العاصف ,,إذا كنت على الماء فلا تبخل بالماء, لا يعرف لكن في الجد الحثيث ج:1 ص:46 الحديث,,non-authentic, باب الهمزة 
22_2,,, من سقى مسلما ماء حيث يوجد الماء فكأنما أعتق رقبة, أو في موضع,,non-authentic, باب الهمزة 
22_3,,, لا يوجد فيه الماء فكأنما أحياه وفيه, وفيه -أيضا-,,non-authentic, باب الهمزة 
22_4,,,إذا كثرت ذنوبك فاسق الماء على الماء تتناثر كما يتناثر الورق من الشجر في الريح العاصف,,,non-authentic, باب الهمزة 
23,23- الأرز في الطعام كالسيد في القوم والكراث في البقول بمنزلة الخبز وعائشة-رضي الله عنها- كالثريد وأنا كالملح في الطعام رواه الديلمي عن علي وهو باطل مكذوب ,,الأرز في الطعام كالسيد في القوم والكراث في البقول بمنزلة الخبز وعائشة-رضي الله عنها- كالثريد وأنا كالملح في الطعام,رواه الديلمي عن علي وهو باطل مكذوب , باطل مكذوب,non-authentic, باب الهمزة 
24_1,24- الأرضون سبع في كل أرض نبي كنبيكم وآدم كآدم الجد الحثيث ج:1 ص:47 ونوح كنوح وإبراهيم كإبراهيم وعيسى كعيسى هو من كلام ابن عباس ,,الأرضون سبع في كل أرض نبي كنبيكم وآدم كآدم, الجد الحثيث ج:1 ص:47 ,,non-authentic, باب الهمزة 
24_2,,, ونوح كنوح وإبراهيم كإبراهيم وعيسى كعيسى, هو من كلام ابن عباس,,non-authentic, باب الهمزة 
25,25- الأرض المقدسة لا تقدس أحدا إنما يقدس الإنسان عمله هو من كلام سلمان الفارسي ,,الأرض المقدسة لا تقدس أحدا إنما يقدس الإنسان عمله,هو من كلام سلمان الفارسي ,,non-authentic, باب الهمزة 
26,26- استاكوا عرضا وادهنوا غبا واكتحلوا وترا قال ابن الجد الحثيث ج:1 ص:48 الصلاح بحثت عنه فلم أجد له أصلا ولا ذكرا في كتب الحديث انتهى لكن جاء معناه في الأحاديث ,,استاكوا عرضا وادهنوا غبا واكتحلوا وترا,قال ابن الجد الحثيث ج:1 ص:48 الصلاح بحثت عنه فلم أجد له أصلا ولا ذكرا في كتب الحديث انتهى لكن جاء معناه في الأحاديث ,,non-authentic, باب الهمزة 
27_1,27- استفقاد الله لعبده طيب هذا كلام يجري على ألسنة الناس في المرض ومعناهإن الله يذكر عبده بالمرض ليثيبه من الذكر وقد جاء هذا المعنى فيما رواه معاذ بن عبد الله بن خبيب عن أبيه أنه قال لأصحابه أتحبون أن لا تمرضوا قالوا والله يا رسول الله إنا لنحب العافية فقال رسول الله وما خير أحدكم إلا يذكره الله الجد الحثيث ج:1 ص:49 وجد مضبوطا بضم التحتية وكسر الكاف مشددة من التذكير ,,استفقاد الله لعبده طيب, هذا كلام يجري على ألسنة الناس في المرض ومعناهإن الله يذكر عبده بالمرض ليثيبه من الذكر وقد جاء هذا المعنى فيما رواه,,non-authentic, باب الهمزة 
27_2,, معاذ بن عبد الله بن خبيب عن أبيه, أنه قال لأصحابه أتحبون أن لا تمرضوا قالوا والله يا رسول الله إنا لنحب العافية فقال رسول الله وما خير أحدكم إلا يذكره الله ,الجد الحثيث ج:1 ص:49 وجد مضبوطا بضم التحتية وكسر الكاف مشددة من التذكير ,,non-authentic, باب الهمزة 
28,28- اسمع من مبكياتك ولا تسمع من مضحكاتك يجري على الألسنة وأصله من كلام الحسن أخرجه الإمام أحمد في الزهد بمعناه ,,اسمع من مبكياتك ولا تسمع من مضحكاتك,يجري على الألسنة وأصله من كلام الحسن أخرجه الإمام أحمد في الزهد بمعناه ,,non-authentic, باب الهمزة 
29,29- اسمعي يا جارة هو بعض مثل قاله الحجاج لأنس حين شكا منه إنما مثلي ومثلك كقول الذي قال إياك أعني واسمعي يا جارة ,,اسمعي يا جارة,هو بعض مثل قاله الحجاج لأنس حين شكا منه إنما مثلي ومثلك كقول الذي قال إياك أعني واسمعي يا جارة ,,non-authentic, باب الهمزة 
30,30- اصف النية ونم في البرية ليس بحديث ,,اصف النية ونم في البرية,ليس بحديث ,,non-authentic, باب الهمزة 
31,31- أصل كل داء الرضى عن النفس أشار السخاوي إلى أنه ليس بحديث ولكن وقع في حكم ابن عطاء الله أصل كل معصية وغفلة وشهوة الرضى عن النفس ,,أصل كل داء الرضى عن النفس,أشار السخاوي إلى أنه ليس بحديث ولكن وقع في حكم ابن عطاء الله أصل كل معصية وغفلة وشهوة الرضى عن النفس ,,non-authentic, باب الهمزة 
32,32- الإعادة سعادة قال السخاوي ما علمته في المرفوع الجد الحثيث ج:1 ص:50 وصح أنه كان إذا تكلم بكلمة أعادها ثلاثا لتفهم عنه قال الجد والذي سمعناه دائرا على الألسنة ,,الإعادة سعادة,قال السخاوي ما علمته في المرفوع الجد الحثيث ج:1 ص:50 وصح أنه كان إذا تكلم بكلمة أعادها ثلاثا لتفهم عنه قال الجد والذي سمعناه دائرا على الألسنة ,,non-authentic, باب الهمزة 
33,33- في الإعادةإفادة وهو أقرب لمعنى الحديث المذكور ,,في الإعادةإفادة,وهو أقرب لمعنى الحديث المذكور ,,non-authentic, باب الهمزة 
34,34- أعمالكم عمالكم قال الجد لم أره حديثا لكن ستأتي الإشارة إليه في كلام الحسن ,,أعمالكم عمالكم,قال الجد لم أره حديثا لكن ستأتي الإشارة إليه في كلام الحسن ,,non-authentic, باب الهمزة 
35_1,35- أعينوا الشاري ليس بحديث نعم أخرج الديلمي حديث ألا أبلغوا الباعة والسوقة إن كثرة السوم في بضائعهم من قلة الرحمة وقساوة القلب  ارحم من تبيعه وارحم من تشتري منه فإنما المسلمون إخوة ارحم الناس يرحمك الله من لا يرحم لا يرحم الجد الحثيث ج:1 ص:51 ,,أعينوا الشاري, ليس بحديث نعم أخرج الديلمي حديث,,non-authentic, باب الهمزة 
35_2,,, ألا أبلغوا الباعة والسوقة إن كثرة السوم في بضائعهم من قلة الرحمة وقساوة القلب  ارحم من تبيعه وارحم من تشتري منه فإنما المسلمون إخوة ارحم الناس يرحمك الله من لا يرحم لا يرحم,الجد الحثيث ج:1 ص:50,,non-authentic, باب الهمزة 
36,36- افتضحوا فاصطلحوا ليس بحديث بل مثل سائر ,,افتضحوا فاصطلحوا,ليس بحديث بل مثل سائر ,,non-authentic, باب الهمزة 
37,37- أكرموا الشهود فإن الله يستخرج بهم الحقوق ويدفع بهم الظلم أورده العقيلي والديلمي وابن عساكر من حديث ابن عباس وقال السخاوي غير مرفوع والصاغاني موضوع ,,أكرموا الشهود فإن الله يستخرج بهم الحقوق ويدفع بهم الظلم,أورده العقيلي والديلمي وابن عساكر من حديث ابن عباس وقال السخاوي غير مرفوع والصاغاني موضوع ,موضوع,non-authentic, باب الهمزة 
38,38- أكرموا الهر فإنه من الطوافين عليكم والطوافات لا يعرف الجد الحثيث ج:1 ص:52 بهذا اللفظ نعم جاء في الحديث إنها ليست بنجس فإنها من الطوافين عليكم والطوافات وفي لفظ أو الطوافات ,,أكرموا الهر فإنه من الطوافين عليكم والطوافات,لا يعرف الجد الحثيث ج:1 ص:52 بهذا اللفظ نعم جاء في الحديث إنها ليست بنجس فإنها من الطوافين عليكم والطوافات وفي لفظ أو الطوافات ,,non-authentic, باب الهمزة 
39_1,39- ألسنة الخلق أقلام الحق ليس بحديث وإنما هو من كلام بعض الصوفية نعم أخرج الطبراني عن أشعث بن أبي الشعثاء عن أبيه قال ذكر الدجال عند ابن مسعودفقال لا تكثروا ذكره فإن الأمر إذا قضي في السماء كان أسرع من نزوله إلى الأرض أن يطير على ألسنة الناس ,,ألسنة الخلق أقلام الحق, ليس بحديث وإنما هو من كلام بعض الصوفية نعم,ليس بحديث,non-authentic, باب الهمزة 
39_2,, أخرج الطبراني عن أشعث بن أبي الشعثاء عن أبيه قال ذكر الدجال عند ابن مسعودفقال, لا تكثروا ذكره فإن الأمر إذا قضي في السماء كان أسرع من نزوله إلى الأرض أن يطير على ألسنة الناس ,,,non-authentic, باب الهمزة 
40,40- الله ولي من سكت ليس بحديث وكذلك ,,الله ولي من سكت,ليس بحديث وكذلك ,ليس بحديث,non-authentic, باب الهمزة 
41,41- فم ساكت رب كاف ,,فم ساكت رب كاف ,,,non-authentic, باب الهمزة 
42,42- اللهم أصلح الراعي والرعية قال الجد لم أره في المرفوع ثم أورد عن المسروقي قال سمعت أبا عبد الله غلام حمويه يقول اللهم أصلح الراعي والرعية الجد الحثيث ج:1 ص:53 يعني القلب والجوارح ,,اللهم أصلح الراعي والرعية,قال الجد لم أره في المرفوع ثم أورد عن المسروقي قال سمعت أبا عبد الله غلام حمويه يقول اللهم أصلح الراعي والرعية الجد الحثيث ج:1 ص:53 يعني القلب والجوارح ,,non-authentic, باب الهمزة 
43,43- اللهم أعز الإسلام بأحب هذين الرجلين بأبي جهل أو بعمر بن الخطاب حديث جاء بألفاظ هذا أحدها قال السيوطي وقد اشتهر هذا الحديث الآن بلفظ بأحب العمرين ولا أصل له من طرق الحديث بعد الفحص البالغ ,,اللهم أعز الإسلام بأحب هذين الرجلين بأبي جهل أو بعمر بن الخطاب,حديث جاء بألفاظ هذا أحدها قال السيوطي وقد اشتهر هذا الحديث الآن بلفظ بأحب العمرين ولا أصل له من طرق الحديث بعد الفحص البالغ ,,non-authentic, باب الهمزة 
44,44- اللهم إنك أخرجتني من أحب البقاع إلي فأسكني في أحب البلاد إليك-فأسكنه الله المدينة- أخرجه الحاكم وغيره عن أبي هريرة الجد الحثيث ج:1 ص:54 وقال ابن عبد البر إنه منكر موضوع ,,اللهم إنك أخرجتني من أحب البقاع إلي فأسكني في أحب البلاد إليك فأسكنه الله المدينة,أخرجه الحاكم وغيره عن أبي هريرة الجد الحثيث ج:1 ص:54 وقال ابن عبد البر إنه منكر موضوع ,,non-authentic, باب الهمزة 
45_1,45- أمرت أن أحكم بالظاهر والله يتولى السرائر هو دائر على ألسنة الفقهاء والأصوليين وقال المزي والعراقي لا أصل له لكن في المتفق عليه عن أم سلمة إنكم تختصمون إلي فلعل بعضكم يكون ألحن بحجته من بعضفأقضي له على نحو ما أسمع فمن قضيت له بشيء من حق أخيه فلا يأخذ منه شيئا فإنما أقطع له قطعة من نار قال الشافعي -رضي الله عنه- في الأم بعد أن أورده فأخبرهم أنه إنما يقضي بالظاهر وأن أمر السرائر إلى الله الجد الحثيث ج:1 ص:55 ,,أمرت أن أحكم بالظاهر والله يتولى السرائر, هو دائر على ألسنة الفقهاء والأصوليين وقال المزي والعراقي لا أصل له لكن في المتفق عليه,,non-authentic, باب الهمزة 
45_2,, عن أم سلمة, إنكم تختصمون إلي فلعل بعضكم يكون ألحن بحجته من بعضفأقضي له على نحو ما أسمع فمن قضيت له بشيء من حق أخيه فلا يأخذ منه شيئا فإنما أقطع له قطعة من نار , قال الشافعي -رضي الله عنه- في الأم بعد أن أورده فأخبرهم أنه إنما يقضي بالظاهر وأن أمر السرائر إلى الله الجد الحثيث ج:1 ص:55,,authentic, باب الهمزة 
46,46- الأمر بتصغير اللقمة في الأكل وتدقيق المضغ قال النووي لا يصح لكن نقل العبادي عن الربيع عن الشافعي إنه قال في الأكل أربع سنن فذكر الجلوس على اليسرى وتصغير اللقمة والمضغ الشديد ولعق الأصابع قال ابن العماد وهذا مخالف لما ذكر النووي انتهى واستدل الجد بقوله حسب ابن آدم لقيمات يقمن صلبه قال فإن تصغير لقيمات دليل واضح على استحباب تصغير اللقم قال ثم رأيت أبا طالب المكي استدل بها فحمدت الله على موافقته ,,الأمر بتصغير اللقمة في الأكل وتدقيق المضغ, قال النووي لا يصح لكن نقل العبادي عن الربيع عن الشافعي إنه قال في الأكل أربع سنن فذكر الجلوس على اليسرى وتصغير اللقمة والمضغ الشديد ولعق الأصابع قال ابن العماد وهذا مخالف لما ذكر النووي انتهى واستدل الجد بقوله حسب ابن آدم لقيمات يقمن صلبه قال فإن تصغير لقيمات دليل واضح على استحباب تصغير اللقم قال ثم رأيت أبا طالب المكي استدل بها فحمدت الله على موافقته,,non-authentic, باب الهمزة 
47,47- أمير النحل علي باطل لا أصل له وإنما وقع في المحكم اليعسوب أمير النحل الجد الحثيث ج:1 ص:56 ثم كثر حتى سموا كل رئيس يعسوبا ومنه حديث ,,أمير النحل علي, باطل لا أصل له وإنما وقع في المحكم اليعسوب أمير النحل الجد الحثيث ج:1 ص:56 ثم كثر حتى سموا كل رئيس يعسوبا ومنه حديث , باطل لا أصل له,non-authentic, باب الهمزة 
48,48- علي يعسوب قريش وحديث ,,علي يعسوب قريش,وحديث ,,non-authentic, باب الهمزة 
49,49- يا علي إنك سيد المسلمين ويعسوب المؤمنين ,,يا علي إنك سيد المسلمين ويعسوب المؤمنين,,,non-authentic, باب الهمزة 
50,50- أنا أفصح من نطق بالضاد قال ابن كثير لا أصل له ومعناه صحيح ,,أنا أفصح من نطق بالضاد,قال ابن كثير لا أصل له ومعناه صحيح , لا أصل له,non-authentic, باب الهمزة 
51,51- أنا من الله والمؤمنون مني أخرجه الديلمي بلا سند عن عبد الله بن جراد في حديث وأنكره ابن حجر ,,أنا من الله والمؤمنون مني, أخرجه الديلمي بلا سند عن عبد الله بن جراد في حديث وأنكره ابن حجر,,non-authentic, باب الهمزة 
52_1,52- أنصف من بالحق اعترف لم يعرف بهذا اللفظ لكن الجد الحثيث ج:1 ص:57 أخرج الإمام أحمد والحاكم عن الأسود بن سريع أُتي النبي بأعرابي أسير فقال أتوب إلى الله ولا أتوب إلى محمد فقال النبي عرف الحق لأهله ,,أنصف من بالحق اعترف, لم يعرف بهذا اللفظ لكن الجد الحثيث ج:1 ص:57 ,,non-authentic, باب الهمزة 
52_2,, أخرج الإمام أحمد والحاكم عن الأسود بن سريع, أُتي النبي بأعرابي أسير فقال أتوب إلى الله ولا أتوب إلى محمد فقال النبي عرف الحق لأهله,,,non-authentic, باب الهمزة 
53_1,53- أنف المرء منه وإن كان أجدع ليس له أصل بهذا اللفظ وفي معناه ما جاء أنه قال لخالد بن الوليد -وقد صار بينه وبين عبد الرحمن بن عوف شيء- يا خالد ذروا لي أصحابي من ينكر أنف المرء ينكر المرء لو كان أُحد ذهبا تنفقه قيراطا قيراطا في سبيل الله لم تدرك غدوة أو روحة من غدوات أو روحات عبد الرحمن ,,أنف المرء منه وإن كان أجدع, ليس له أصل بهذا اللفظ وفي معناه ما جاء أنه,ليس له أصل,non-authentic, باب الهمزة 
53_2,,, قال لخالد بن الوليد -وقد صار بينه وبين عبد الرحمن بن عوف شيء- يا خالد ذروا لي أصحابي من ينكر أنف المرء ينكر المرء لو كان أُحد ذهبا تنفقه قيراطا قيراطا في سبيل الله لم تدرك غدوة أو روحة من غدوات أو روحات عبد الرحمن ,,,unknown, باب الهمزة 
54,54- أنفق ما في الجيب يأتيك ما في الغيب ليس بحديث ويؤيد معناه قوله وَمَا أَنفَقْتُم مِنْ شَيءٍ فَهُوَ يُخْلِفُهُ سبأ 39 ,,أنفق ما في الجيب يأتيك ما في الغيب,ليس بحديث ويؤيد معناه قوله وَمَا أَنفَقْتُم مِنْ شَيءٍ فَهُوَ يُخْلِفُهُ سبأ 39 ,ليس بحديث,non-authentic, باب الهمزة 
55_1,55- أنفق أبو بكر -رضي الله عنه- ما معه حتى تخلل بالعباءة الجد الحثيث ج:1 ص:58 ليس واردا هكذا ومعناه ثابت لقوله واساني بنفسه وماله وقوله ما أبقيت لأهلك قال أبقيت لهم الله ورسوله وأسلم وله أربعون ألفا فأنفقها في سبيل الله وقالت عائشة-رضي الله عنها- ما ترك دينارا ولا درهما وجاء أنه رافق عمرو بن العاص في سفر فكان ينيم عمروا على فراشه ويكسبه كساه وكان عنده عباءة إذا نزل بسطها وإذا ركب لبسها ثم شكها عليه بخلال له ,,أنفق أبو بكر -رضي الله عنه- ما معه حتى تخلل بالعباءة, الجد الحثيث ج:1 ص:58 ليس واردا هكذا ومعناه ثابت لقوله,,non-authentic, باب الهمزة 
55_2,,, واساني بنفسه وماله وقوله ما أبقيت لأهلك قال أبقيت لهم الله ورسوله وأسلم وله أربعون ألفا فأنفقها في سبيل الله وقالت عائشة-رضي الله عنها- ما ترك دينارا ولا درهما وجاء أنه رافق عمرو بن العاص في سفر فكان ينيم عمروا على فراشه ويكسبه كساه وكان عنده عباءة إذا نزل بسطها وإذا ركب لبسها ثم شكها عليه بخلال له,,,unknown, باب الهمزة 
