No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic,
5,(ابن عدي) أنبأنا أبو يعلى حدثنا سويد حدثنا القاسم بن عبداللّه العمري عن محمد بن المنكدر عن جابر مرفوعاً إذا بلغ الماء أربعين قلة لم يحمل الخبث: لا يصلح خلط فيه القاسم. (قلت) له طريق آخر عن جابر أخرجه الدارقطني في سننه قال حدثنا عبدالصمد عن علي وبرهان محمد ابن علي بن الحسن الدينوري قاللا حدثنا عير بن مرداس حدثنا محمد بن بكير الحضرمي عن جابر بن عبداللّه مرفوعاً به ثم قال وكذا رواه القاسم العمري عن ابن المنكدر عن جابر ووهم في إِسناده وكان ضعيفاً عن ابن عمرو موقوفاً ورواه السخيتياني عن ابن المنكدر قوله ثم أسند روايتهم وورد ذلك أيضاً عن أبي هريرة موقوفاً أخرجه الدارقطني واللّه أعلم.‏,ابن عدي) أنبأنا أبو يعلى حدثنا سويد حدثنا القاسم بن عبداللّه العمري عن محمد بن المنكدر عن جابر مرفوعاً, إذا بلغ الماء أربعين قلة لم يحمل الخبث,لا يصلح خلط فيه القاسم. (قلت) له طريق آخر عن جابر أخرجه الدارقطني في سننه,,non-authentic,كتاب الطهارة,
5_1,, حدثنا عبدالصمد عن علي وبرهان محمد ابن علي بن الحسن الدينوري قاللا حدثنا عير بن مرداس حدثنا محمد بن بكير الحضرمي عن جابر بن عبداللّه مرفوعاً,,به ثم قال وكذا رواه القاسم العمري عن ابن المنكدر عن جابر ووهم في إِسناده وكان ضعيفاً عن ابن عمرو موقوفاً ورواه السخيتياني عن ابن المنكدر قوله ثم أسند روايتهم وورد ذلك أيضاً عن أبي هريرة موقوفاً أخرجه الدارقطني واللّه أعلم.,,non-authentic,كتاب الطهارة,
6,(الخطيب) أنبأنا العتيقي والتنوخي قالا حدثنا أبو الحسن علي بن محمد بن عبيداللّه بن إِبراهيم الزهري حدثنا أبو يعلى أحمد بن علي بن المثنى حدثنا شيبان بن فروخ حدثنا سعيد بن سليمان عن عبدالعزيز ابن صهيب عن أنس مرفوعاً غسل الإناء وطهارة الفتاء يورثان الغنى قال الخطيب لم أكتبه إلا من حديث أبي الحسن الزهري وهو كذاب. (قلت) قال في الميزان هذا وضعه علي بن محمد الزهري على أبي يعلى واللّه أعلم.‏,الخطيب) أنبأنا العتيقي والتنوخي قالا حدثنا أبو الحسن علي بن محمد بن عبيداللّه بن إِبراهيم الزهري حدثنا أبو يعلى أحمد بن علي بن المثنى حدثنا شيبان بن فروخ حدثنا سعيد بن سليمان عن عبدالعزيز ابن صهيب عن أنس مرفوعاً,غسل الإناء وطهارة الفتاء يورثان الغنى,قال الخطيب لم أكتبه إلا من حديث أبي الحسن الزهري وهو كذاب. (قلت) قال في الميزان هذا وضعه علي بن محمد الزهري على أبي يعلى واللّه أعلم.‏,,non-authentic,كتاب الطهارة,
7,"(العقيلي) حدثنا أحمد بن محمد بن إِبراهيم بن سعيد بن أشعب بن سعيد حدثني عمر بن أبي عمر العبد عن هشام بن عروة عن أبيه عن جده قال استقبل رسول اللّه صلى اللّه عليه وسلم جبريل فناوله يده فأبى أن يتناولها فقال يا جبريل ما منعك أن تأخذ بيدي قال إنك أخذت بيد يهودي فكرهت أن تمس يدي يداً قد مسها يد كافر فدعا بماء فتوضأ فناوله يده فأخذ بيده، موضوع: عمر العبد متروك.‏",العقيلي) حدثنا أحمد بن محمد بن إِبراهيم بن سعيد بن أشعب بن سعيد حدثني عمر بن أبي عمر العبد عن هشام بن عروة عن أبيه عن جده قال,استقبل رسول اللّه صلى اللّه عليه وسلم جبريل فناوله يده فأبى أن يتناولها فقال يا جبريل ما منعك أن تأخذ بيدي قال إنك أخذت بيد يهودي فكرهت أن تمس يدي يداً قد مسها يد كافر فدعا بماء فتوضأ فناوله يده فأخذ بيده, موضوع: عمر العبد متروك,موضوع,non-authentic,كتاب الطهارة,
8,(ابن عدي) حدثنا أبو يعلى سعيد بن أبي الربيع السماني حدثنا عنبسة بن سعيد حدثنا هشام بن عروة به نحوه: عنبسة متروك.‏,ابن عدي) حدثنا أبو يعلى سعيد بن أبي الربيع السماني حدثنا عنبسة بن سعيد حدثنا هشام بن عروة,, به نحوه: عنبسة متروك,,non-authentic,كتاب الطهارة,
9,(ابن عدي) حدثنا الفضل بن [ص 5] عبداللّه بن سليمان حدثنا عبيد اللّه بن آدم بن أبي حدثنا بقية عن إبراهيم عن ابن جريج عن عطاء عن ابن عباس مرفوعاً من صافح يهودياً أو نصرانياً فليتوضأ وليغسل يده: لا يصح إِبراهيم بن هانئ قال ابن عدي شيخ مجهول يحدث عن ابن جريج بالأباطيل.‏,ابن عدي) حدثنا الفضل بن [ص 5] عبداللّه بن سليمان حدثنا عبيد اللّه بن آدم بن أبي حدثنا بقية عن إبراهيم عن ابن جريج عن عطاء عن ابن عباس مرفوعاً ,من صافح يهودياً أو نصرانياً فليتوضأ وليغسل يده, لا يصح إِبراهيم بن هانئ قال ابن عدي شيخ مجهول يحدث عن ابن جريج بالأباطيل, لا يصح,non-authentic,كتاب الطهارة,
10,"(العقيلي) حدثنا صالح بن شعيب حدثنا إسماعيل بن عبيد اللّه بن زرارة الرقي حدثنا علي بن هاشم الكوفي حدثنا سوادة عن أنس أنه سمع رسول اللّه صلى اللّه عليه وسلم يقول لا تغتسلوا بالماء الذي يسخن في الشمس فإنه يعدي من البرص، قال العقيلي سوادة مجهول بالنقل حديثه غير محفوظ وليس وليس في الماء المشمس شيئ يصح مسنداً إنما يروي فيه من قول عمر بن الخطاب.‏",العقيلي) حدثنا صالح بن شعيب حدثنا إسماعيل بن عبيد اللّه بن زرارة الرقي حدثنا علي بن هاشم الكوفي حدثنا سوادة عن أنس أنه سمع رسول اللّه صلى اللّه عليه وسلم يقول, لا تغتسلوا بالماء الذي يسخن في الشمس فإنه يعدي من البرص, قال العقيلي سوادة مجهول بالنقل حديثه غير محفوظ وليس وليس في الماء المشمس شيئ يصح مسنداً إنما يروي فيه من قول عمر بن الخطاب,,non-authentic,كتاب الطهارة,
11,"(أبو نعيم) في الطب حدثنا أبو الحسين عبيد اللّه بن يعقوب المقري حدثنا الحسن ابن محمد حدثنا أبي حدثنا خالد بن إسماعيل أبو الوليد المخزومي عن هشام بن عروة عن أبيه عن عائشة قالت لرسول اللّه صلى اللّه عليه وسلم ماء في الشمس فقال لا تفعلي يا حميراء فإنه يورث البرص، خالد لا يحتج به قال ابن عدي يضع على الثقات. (قلت) أخرجه الدارقطني في سننه من هذا الطريق وقال خالد بن إسماعيل متروك واللّه أعلم.‏",أبو نعيم) في الطب حدثنا أبو الحسين عبيد اللّه بن يعقوب المقري حدثنا الحسن ابن محمد حدثنا أبي حدثنا خالد بن إسماعيل أبو الوليد المخزومي عن هشام بن عروة عن أبيه عن عائشة,قالت لرسول اللّه صلى اللّه عليه وسلم ماء في الشمس فقال لا تفعلي يا حميراء فإنه يورث البرص, خالد لا يحتج به قال ابن عدي يضع على الثقات. (قلت) أخرجه الدارقطني في سننه من هذا الطريق وقال خالد بن إسماعيل متروك واللّه أعلم.,,non-authentic,كتاب الطهارة,
12,(الدارقطني) في الإفراد حدثنا محمد بن الفتح القلانسي حدثنا أحمد بن عبيد بن ناصح حدثنا الهيثم بن عدي عن هشام بن عروة به نحوه الهيثم كذاب.‏,الدارقطني) في الإفراد حدثنا محمد بن الفتح القلانسي حدثنا أحمد بن عبيد بن ناصح حدثنا الهيثم بن عدي عن هشام بن عروة,, به نحوه الهيثم كذاب,,non-authentic,كتاب الطهارة,
13_1,(ابن حبان) حدثنا عمر بن سنان حدثنا أحمد بن الفضل الصائع حدثنا نوح بن الهيثم وهب بن وهب عن هشام بن عروة عن أبيه عن عائشة قالت أسخنت لرسول اللّه صلى اللّه عليه وسلم ماء في الشمس فقال لا تعودي يا حميراء فإنه يورث البرص: وهب كذاب. (قلت) وتابعهم أيضاً محمد بن مروان السدي وهو كذاب عن هشام. قال الطبراني في الأوسط حدثنا محمد بن عبداللّه الحضرمي حدثنا إسحق بن إبراهيم بن مرداسة عن عمر بن أبي زياد القطواني حدثنا محمد بن مروان السدي عن هشام بن عروة عن أبيه عن عائشة قالت أسخنت ماء في الشمس فأتيت به النبي صلى اللّه عليه وسلم ليتوضأ به فقال [ص 6] لا تفعلي يا عائشة فإن هذا يورث البياض واللّه أعلم.‏,ابن حبان) حدثنا عمر بن سنان حدثنا أحمد بن الفضل الصائع حدثنا نوح بن الهيثم وهب بن وهب عن هشام بن عروة عن أبيه عن عائشة قالت,  أسخنت لرسول اللّه صلى اللّه عليه وسلم ماء في الشمس فقال لا تعودي يا حميراء فإنه يورث البرص, وهب كذاب. (قلت) وتابعهم أيضاً محمد بن مروان السدي وهو كذاب عن هشام,,non-authentic,كتاب الطهارة,
13_2,,قال الطبراني في الأوسط حدثنا محمد بن عبداللّه الحضرمي حدثنا إسحق بن إبراهيم بن مرداسة عن عمر بن أبي زياد القطواني حدثنا محمد بن مروان السدي عن هشام بن عروة عن أبيه عن عائشة قالت, أسخنت ماء في الشمس فأتيت به النبي صلى اللّه عليه وسلم ليتوضأ به فقال [ص 6] لا تفعلي يا عائشة فإن هذا يورث البياض, واللّه أعلم,,non-authentic,كتاب الطهارة,
14_1,(الدارقطني) في سننه حدثنا محمد بن الفتح القلانسي حدثنا محمد بن الحسن بن سعيد البزار حدثنا عمرو بن محمد الأعسم حدثنا فليح عن الزهري عن عروة عن عائشة قالت نهى رسول اللّه صلى اللّه عليه وسلم أن يتوضأ بالماء المشمس أو يغتسل به وقال إنه يورث البرص قال الدراقطني عمرو بن محمد الأعسم منكر الحديث ولم يروه غيره عن فليح ولا يصح عن الزهري قلت من طرقه ماأخرجه الدراقطني في الإفراد حدثنا الفضل ابن العباس الصواف حدثنا عبدالوهاب بن إبراهيم حدثنا أبو اليسع بن سليمان حدثنا زكريا بن حكيم عن الشعبي عن أنس مرفوعاً لا تغسلوا صبيانكم بالماء الذي يسخن بالشمس فإنه يورث البرص قال الدراقطني تفردبه زكريا عن الشعبي ولم يروه عنه غير أيوب انتهى وزكريا ضعيف وأيوب مجهول قال أبو بكر المقري في فوائده حدثنا أبو بكر محمد بن عبداللّه بن يوسف بن أبي أيوب الضرير ببغداد. حدثنا سعيد بن محمد بن أيوب حدثنا أحمد بن بحر بن سوادة عن عثمان بن مطر عن ثابت عن أنس مرفوعاً لا تخللوا بالقطب ولابعود التين ولا تغتسلوا بماء مسخن في الشمس فإِن ذلك يورث الأكلة وفي مشيخة قاضي المرستان من طريق عمر بن صبح هوكذاب عن مقاتل عن الضحاك عن ابن عباس مرفوعاً من اغتسل بالماء المشمس فأصابه وضح فلا يلومن إلا نفسه واللّه أعلم.‏,الدارقطني) في سننه حدثنا محمد بن الفتح القلانسي حدثنا محمد بن الحسن بن سعيد البزار حدثنا عمرو بن محمد الأعسم حدثنا فليح عن الزهري عن عروة عن عائشة قالت, نهى رسول اللّه صلى اللّه عليه وسلم أن يتوضأ بالماء المشمس أو يغتسل به وقال إنه يورث البرص,قال الدراقطني عمرو بن محمد الأعسم منكر الحديث ولم يروه غيره عن فليح ولا يصح عن الزهري قلت من طرقه ماأخرجه الدراقطني في الإفراد,,non-authentic,كتاب الطهارة,
14_2,,حدثنا الفضل ابن العباس الصواف حدثنا عبدالوهاب بن إبراهيم حدثنا أبو اليسع بن سليمان حدثنا زكريا بن حكيم عن الشعبي عن أنس مرفوعاً,لا تغسلوا صبيانكم بالماء الذي يسخن بالشمس فإنه يورث البرص, قال الدراقطني تفردبه زكريا عن الشعبي ولم يروه عنه غير أيوب انتهى وزكريا ضعيف وأيوب مجهول قال أبو بكر المقري في فوائده,,non-authentic,كتاب الطهارة,
14_3,‏,حدثنا أبو بكر محمد بن عبداللّه بن يوسف بن أبي أيوب الضرير ببغداد. حدثنا سعيد بن محمد بن أيوب حدثنا أحمد بن بحر بن سوادة عن عثمان بن مطر عن ثابت عن أنس مرفوعاً, لا تخللوا بالقطب ولابعود التين ولا تغتسلوا بماء مسخن في الشمس فإِن ذلك يورث الأكلة, وفي مشيخة قاضي المرستان من طريق عمر بن صبح هوكذاب,,non-authentic,كتاب الطهارة,
14_4,,عن مقاتل عن الضحاك عن ابن عباس مرفوعاً ,من اغتسل بالماء المشمس فأصابه وضح فلا يلومن إلا نفسه,واللّه أعلم,,non-authentic,كتاب الطهارة,
15,"(أنبأنا) أحمد بن المتوكل أنبأنا محمد بن أبي نصر الحميدي أنبأنا أبو بكر بن مصعب بن عبداللّه أنبأنا أبي أنبأنا يحيى بن مالك بن عائذ حدثنا أبو الحسن بن أحمد بن عبداللّه الرملي حدثنا أبو بكر محمد بن الحسن بن أحمد حدثنا أبو علي الحسن بن علي حدثنا الوزير بن قاسم قال دخلت الحمام فرأيت عمروبن هشام البيروتي في الوزن فقلت له تدخل الحمام فقال دخلت الحمام فرأيت الزهري جالساً في الوزن فقلت له تدخل الحمام فقال: دخلت الحمام فرأيت أنس بن مالك في الوزن فقلت له تدخل الحمام فقال: دخلت الحمام فرأيت رسول اللّه صلى اللّه عليه وسلم جالساً في الوزن وعليه مئزر فهممت أكلمه فقال: يا أنس [ص 7] إنما حرمت دخول الحمام بغير مئزر، موضوع: فيه جماعة مجهولون.‏",أنبأنا) أحمد بن المتوكل أنبأنا محمد بن أبي نصر الحميدي أنبأنا أبو بكر بن مصعب بن عبداللّه أنبأنا أبي أنبأنا يحيى بن مالك بن عائذ حدثنا أبو الحسن بن أحمد بن عبداللّه الرملي حدثنا أبو بكر محمد بن الحسن بن أحمد حدثنا أبو علي الحسن بن علي حدثنا الوزير بن قاسم قال  دخلت الحمام فرأيت عمروبن هشام البيروتي في الوزن فقلت له تدخل الحمام فقال دخلت الحمام فرأيت الزهري جالساً في الوزن فقلت له تدخل الحمام فقال: دخلت الحمام فرأيت أنس بن مالك في الوزن فقلت له تدخل الحمام فقال, دخلت الحمام فرأيت رسول اللّه صلى اللّه عليه وسلم جالساً في الوزن وعليه مئزر فهممت أكلمه فقال: يا أنس [ص 7] إنما حرمت دخول الحمام بغير مئزر, موضوع: فيه جماعة مجهولون, موضوع,non-authentic,كتاب الطهارة,
16,(ابن عدي) حدثنا عبيد اللّه بن زياد وغيره قالو حدثنا بركة بن محمد الحلبي حدثنا يوسف بن أسباط عن أبي سفيان الثوري عن خالد الحذاء عن عمر بنسيرين عن أبي هريرة مرفوعاً المضمضة والاستنشاق فريضة للجنب.‏,ابن عدي) حدثنا عبيد اللّه بن زياد وغيره قالو حدثنا بركة بن محمد الحلبي حدثنا يوسف بن أسباط عن أبي سفيان الثوري عن خالد الحذاء عن عمر بنسيرين عن أبي هريرة مرفوعاً,المضمضة والاستنشاق فريضة للجنب,,,non-authentic,كتاب الطهارة,
17,(الدراقطني) حدثنا علي بن محمد بن يحيى بن مهران السواق حدثنا سليمان بن الربيع النهدي حدثنا همام بن مسلم حدثنا سفيان الثوري به.‏,الدراقطني) حدثنا علي بن محمد بن يحيى بن مهران السواق حدثنا سليمان بن الربيع النهدي حدثنا همام بن مسلم حدثنا سفيان الثوري,,به,,non-authentic,كتاب الطهارة,
18,"(ابن حبان) حدثنا حمزة بن داود حدثنا سليمان النهدي به، موضوع: بركة كذاب. قال الدراقطني هذا الحديث وضعه بركة أو وضع له. وقال الأزدي لم يحدث به إلا يوسف ولم يتابع عليه ويوسف حدث من حفظه بعد أن دفن كتبه فلا يحيي حديثه كما ينبغي وهمام كان يسرق الحديث ويروي عن الثقات ما ليس من حديثهم فلعله سرقه من يوسف وسليمان بن الربيع ضعيف. (قلت) قال في الميزان هذا باطل وقد جاء مرسلا واللّه أعلم.‏",ابن حبان) حدثنا حمزة بن داود حدثنا سليمان النهدي,," به، موضوع: بركة كذاب. قال الدراقطني هذا الحديث وضعه بركة أو وضع له. وقال الأزدي لم يحدث به إلا يوسف ولم يتابع عليه ويوسف حدث من حفظه بعد أن دفن كتبه فلا يحيي حديثه كما ينبغي وهمام كان يسرق الحديث ويروي عن الثقات ما ليس من حديثهم فلعله سرقه من يوسف وسليمان بن الربيع ضعيف. (قلت) قال في الميزان هذا باطل وقد جاء مرسلا واللّه أعلم",موضوع,non-authentic,كتاب الطهارة,
19,"(الجوزقاني) أنبأنا محمد بن عبدالغفار أنبأنا أحمد بن محمد بن يحيى بن بندار العذل حدثنا محمد بن عمر بن جرير الصوفي حدثنا إبراهيم بن محمد بن الحسن قرة الطان حدثنا الحسين بن القاسم بن محمد الزاهد الأصبهاني حدثنا إسماعيل بن أبي زيادة الشامي عن ثور عن خالد عن معاذ قال قلنا يا رسول اللّه يمس القرآن على غير وضوء قال نعم إلا أن تكون على الجنابة قلنا يا رسول اللّه فقوله كتاب مكنون لا يمسه إلا المطهرون قال يعني مكنون من الشرك ومن الشيطان لا يمسه إلا المطهرون يعني لا يمس ثوابه إلا المؤمنون، قال الجوزقاني موضوع باطل لاأصل له لم يروه عن ثور غير إسماعيل وهو منكر ولا رواه عنه غير الحسين الزاهد وهو ضعيف تفرد عنه إبراهيم بن محمد الطيان وهو متروك الحديث مجهول.‏",الجوزقاني) أنبأنا محمد بن عبدالغفار أنبأنا أحمد بن محمد بن يحيى بن بندار العذل حدثنا محمد بن عمر بن جرير الصوفي حدثنا إبراهيم بن محمد بن الحسن قرة الطان حدثنا الحسين بن القاسم بن محمد الزاهد الأصبهاني حدثنا إسماعيل بن أبي زيادة الشامي عن ثور عن خالد عن معاذ قال, قلنا يا رسول اللّه يمس القرآن على غير وضوء قال نعم إلا أن تكون على الجنابة قلنا يا رسول اللّه فقوله كتاب مكنون لا يمسه إلا المطهرون قال يعني مكنون من الشرك ومن الشيطان لا يمسه إلا المطهرون يعني لا يمس ثوابه إلا المؤمنون, قال الجوزقاني موضوع باطل لاأصل له لم يروه عن ثور غير إسماعيل وهو منكر ولا رواه عنه غير الحسين الزاهد وهو ضعيف تفرد عنه إبراهيم بن محمد الطيان وهو متروك الحديث مجهول,موضوع,non-authentic,كتاب الطهارة,
